Rank,X,Y
1,-2.99E-01,-4.95426247e-01
2,-4.14E-01,-3.16141436e-01
3,-2.57E-01,-3.88346257e-01
4,3.38E-01,-3.16296926e-01
5,-8.17E-01, 1.00550245e+00
6,-9.90E-01, 3.27488837e-01
7,9.13E-01,-1.12099611e-01
8,6.63E-01,-3.80272718e-01
9,-3.27E-01, 8.61363227e-01
10,9.34E-01, 1.02111530e-01
11,-1.50E-01,-2.74968349e-01
12,2.06E-01,-4.78683191e-02
13,3.51E-01, 9.23399811e-02
14,2.83E-01,-3.82719929e-01
15,2.57E-01,-1.91892848e-01
16,-3.01E-01, 4.94802672e-01
17,-1.66E-01,-1.91936397e-01
18,-3.53E-02,-2.77216655e-01
19,-1.14E+00, 3.96698724e-01
20,1.93E-01,-7.53540574e-02
21,-2.11E-01,-2.73416749e-01
22,6.56E-01,-3.40358439e-01
23,8.01E-01, 5.23613484e-01
24,-1.32E-01,-3.60410118e-01
25,-5.26E-01,-1.99523236e-02
26,5.95E-01,-6.97716093e-02
27,-4.71E-04,-2.73372958e-01
28,-4.93E-02,-4.46293449e-01
29,9.02E-02,-4.28539042e-01
30,-1.82E-01,-2.72759198e-01
31,3.54E-01,1.44E-01
32,-6.56E-01,-2.74E-01
33,-3.10E-01,5.69E-01
34,-3.19E-01,-3.96E-01
35,-6.99E-01,7.81E-02
36,3.40E-01,-2.55E-01
37,-2.31E-01,-4.80E-01
38,-6.81E-01,1.04E+00
39,3.56E-01,-1.11E-01
40,-1.14E+00,5.98E-01
41,5.15E-02,-3.73E-01
42,1.22E-01,-5.57E-01
43,4.64E-01,-2.88E-01
44,1.42E-01,-3.43E-01
45,-6.02E-02,-1.23E-01
46,-9.59E-01,1.11E+00
47,9.72E-02,-3.33E-01
48,-8.67E-02,-3.35E-01
49,-2.48E-02,-2.38E-01
50,-1.79E-01,-2.97E-01
51,1.28E+00,3.84E-01
52,1.22E+00,2.71E-01
53,-7.45E-01,1.11E+00
54,1.94E+00,1.56E+00
55,-2.81E-01,-5.88E-01
56,1.58E-02,-3.63E-01
57,1.90E+00,3.54E-01
58,-3.86E-01,5.52E-01
59,-3.03E-01,-3.52E-01
60,-5.78E-01,9.01E-01
61,-1.57E-01,-2.93E-01
62,4.32E-01,4.27E-01
63,-3.73E-01,5.94E-02
64,-1.86E-01,-8.88E-01
65,8.93E-03,-3.15E-01
66,-4.89E-01,3.49E-01
67,6.32E-02,3.21E-01
68,4.78E-01,2.27E-01
69,-4.22E-01,8.28E-01
70,-5.48E-01,6.70E-01
71,5.67E-01,2.87E-03
72,-2.04E-01,-3.11E-01
73,-2.05E-01,-7.41E-01
74,-1.13E+00,-1.05E+00
75,1.29E+00,6.66E-02
76,-3.10E-02,-1.85E-01
