10cc,"I'm Not In Love"
10cc,"The Things We Do For Love"
112,"U Already Know"
"3 Doors Down","Be Like That"
"3 Doors Down","Here Without You"
"3 Doors Down","It's Not My Time"
"3 Doors Down",Kryptonite
"3 Doors Down","Let Me Go"
"3 Doors Down","When I'm Gone"
3T,ANYTHING
"50 Cent","Disco Inferno"
"50 Cent","In Da Club"
"50 Cent","Just A Lil Bit"
"50 Cent","Outta Control"
"50 Cent",P.I.M.P.
"50 Cent",Wanksta
"A Flock Of Seagulls","I Ran"
"ARRESTED DEVELOPMENT",Tennessee
Aaliyah,"Miss You"
Aaliyah,"More Than A Woman"
Aaliyah,"Rock The Boat"
"Aaron Neville","Tell It Like It Is"
Abba,"Dancing Queen"
Abba,"Take A Chance On Me"
Abba,"The Name Of The Game"
Abba,"The Winner Takes It All"
Abba,Waterloo
"Ace of Base","All That She Wants"
"Ace of Base","Beautiful Life"
"Ace of Base","Cruel summer"
"Ace of Base","Don't Turn Around"
"Ace of Base","The Sign"
"Adam Ant","Goody Two Shoes"
"Adam Lambert","Whataya Want From Me"
Aerosmith,Amazing
Aerosmith,Angel
Aerosmith,Crazy
Aerosmith,"Cryin'"
Aerosmith,"Dream On"
Aerosmith,"I Don't Want To Miss A Thing"
Aerosmith,Jaded
Aerosmith,"Janie's Got A Gun"
Aerosmith,"Livin' On The Edge"
Aerosmith,"Love In An Elevator"
Aerosmith,"Walk This Way"
Aerosmith,"What It Takes"
"After The Fire","Der Kommissar"
"Air Supply","All Out Of Love"
"Air Supply","Even The Nights Are Better"
"Air Supply","Every Woman In The World"
"Air Supply","Here I Am"
"Air Supply","Lost In Love"
"Air Supply","Making Love Out Of Nothing At All"
Akon,"Don't Matter"
Akon,"I Wanna Love You"
Akon,"Locked Up"
Akon,Lonely
"Al Green","I'm Still In Love With You"
"Al Green","Let's Stay Together"
"Al Green","Look What You Done For Me"
"Al Green","Tired Of Being Alone"
"Al Martino","Here In My Heart"
"Al Martino","I Love You Because"
Alabama,"Love In The First Degree"
"Albert Hammond","It Never Rains In Southern California"
"Alice Cooper",Poison
"Alice Cooper","School's Out"
"Alice Deejay","Better Off Alone"
"Alicia Keys","A Woman's Worth"
"Alicia Keys",Diary
"Alicia Keys","Fallin'"
"Alicia Keys","If I Ain't Got You"
"Alicia Keys",Karma
"Alicia Keys","Like You'll Never See Me Again"
"Alicia Keys","No One"
"Alicia Keys","You Don't Know My Name"
"All Saints","Never Ever"
Ambrosia,"Biggest Part Of Me"
Ambrosia,"How Much I Feel"
America,"A Horse With No Name"
America,"Lonely People"
America,"Sister Golden Hair"
America,"You Can Do Magic"
"Amy Winehouse",Rehab
"Andrew Gold","Lonely Boy"
"Andrews Sisters","I Wanna Be Loved"
"Andy Williams","Are You Sincere"
"Andy Williams",Butterfly
"Andy Williams","Canadian Sunset"
"Andy Williams","I Like Your Kind Of Love"
"Andy Williams","The Village Of St. Bernadette"
"Andy Williams","The Village of St. Bernadette"
Animotion,Obsession
"Anita Baker","Sweet Love"
"Anita Ward","Ring My Bell"
"Anne Murray","Danny's Song"
"Aretha Franklin","A Rose Is Still A Rose"
"Aretha Franklin","Freeway Of Love"
"Aretha Franklin","Spanish Harlem"
Argent,"Hold Your Head Up"
Ashanti,Baby
Ashanti,Foolish
Ashanti,"Rain On Me"
"Ashlee Simpson","Pieces Of Me"
"Atlanta Rhythm Section","Imaginary Lover"
"Atlanta Rhythm Section","So In To You"
"Atlantic Starr",Always
"Atlantic Starr",Masterpiece
"Atlantic Starr","Secret Lovers"
Audioslave,"Like A Stone"
Avant,"Read Your Mind"
Avant,Separated
"Average White Band","Pick Up The Pieces"
"Avril Lavigne",Complicated
"Avril Lavigne","Don't Tell Me"
"Avril Lavigne",Girlfriend
"Avril Lavigne","I'm With You"
"Avril Lavigne","Keep Holding On"
"Avril Lavigne","My Happy Ending"
"Avril Lavigne","Sk8er Boi"
"B.B. King","The Thrill Is Gone"
"B.J. THOMAS","Hooked On a Feeling"
"B.J. THOMAS","I Just Can't Help Believing"
"B.J. THOMAS","Raindrops Keep Fallin' On My Head"
B2K,"Uh Huh"
Babyface,"And Our Feelings"
Babyface,"Every Time I Close My Eyes"
Babyface,"It's No Crime"
Babyface,"When Can I See You"
Babyface,"Whip Appeal"
"Bachman-Turner Overdrive","Takin' Care Of Business"
"Backstreet Boys","All I Have To Give"
"Backstreet Boys","I Want It That Way"
"Backstreet Boys",Incomplete
"Backstreet Boys","Show Me The Meaning Of Being Lonely"
"Bad Company","Feel Like Makin' Love"
"Bad Company","Rock 'n' Roll Fantasy"
"Bad English","When I See You Smile"
Bananarama,"Cruel Summer"
Bananarama,"I Heard A Rumour"
Bananarama,Venus
Bangles,"Eternal Flame"
Bangles,"Hazy Shade Of Winter"
Bangles,"In Your Room"
Bangles,"Manic Monday"
Bangles,"Walk Like An Egyptian"
