10cc,"I'm Not In Love"
112,"U Already Know"
"3 Doors Down","Be Like That"
"3 Doors Down","Let Me Go"
3T,ANYTHING
"50 Cent","Just A Lil Bit"
"50 Cent",P.I.M.P.
"50 Cent",Wanksta
"ARRESTED DEVELOPMENT",Tennessee
Aaliyah,"Miss You"
Aaliyah,"More Than A Woman"
Aaliyah,"Rock The Boat"
"Ace of Base","All That She Wants"
"Ace of Base","Beautiful Life"
"Ace of Base","Cruel summer"
"Ace of Base","Don't Turn Around"
"Ace of Base","The Sign"
Aerosmith,Jaded
"After The Fire","Der Kommissar"
"Air Supply","Every Woman In The World"
"Air Supply","Here I Am"
"Air Supply","Making Love Out Of Nothing At All"
"Al Green","I'm Still In Love With You"
"Al Green","Let's Stay Together"
"Al Green","Look What You Done For Me"
"Al Green","Tired Of Being Alone"
"Al Martino","I Love You Because"
Alabama,"Love In The First Degree"
"Albert Hammond","It Never Rains In Southern California"
"Alice Deejay","Better Off Alone"
"All Saints","Never Ever"
America,"A Horse With No Name"
"Andrews Sisters","I Wanna Be Loved"
"Andy Williams","Canadian Sunset"
"Andy Williams","I Like Your Kind Of Love"
"Andy Williams","The Village Of St. Bernadette"
"Andy Williams","The Village of St. Bernadette"
"Anita Baker","Sweet Love"
"Anne Murray","Danny's Song"
"Aretha Franklin","Freeway Of Love"
"Aretha Franklin","Spanish Harlem"
Ashanti,Foolish
Ashanti,"Rain On Me"
"Atlanta Rhythm Section","Imaginary Lover"
"Atlanta Rhythm Section","So In To You"
"Atlantic Starr",Always
"Atlantic Starr",Masterpiece
Avant,Separated
"Average White Band","Pick Up The Pieces"
"Avril Lavigne","Don't Tell Me"
"Avril Lavigne","My Happy Ending"
"B.J. THOMAS","Hooked On a Feeling"
"B.J. THOMAS","I Just Can't Help Believing"
"B.J. THOMAS","Raindrops Keep Fallin' On My Head"
Babyface,"And Our Feelings"
"Backstreet Boys","All I Have To Give"
"Backstreet Boys","I Want It That Way"
"Backstreet Boys",Incomplete
"Backstreet Boys","Show Me The Meaning Of Being Lonely"
"Bad Company","Rock 'n' Roll Fantasy"
"Bad English","When I See You Smile"
Bananarama,"Cruel Summer"
Bananarama,"I Heard A Rumour"
Bangles,"Eternal Flame"
Bangles,"In Your Room"
"Barbra Streisand","Comin' In And Out Of Your Life"
"Barry Manilow","I Made It Through The Rain"
"Barry Manilow","Looks Like We Made It"
"Barry Manilow",Mandy
"Bee Gees","Love So Right"
"Belinda Carlisle","Heaven Is A Place On Earth"
"Beyoncé","Baby Boy"
"Big Mountain","Baby I Love Your Way"
"Bill Withers","Ain't No Sunshine"
"Bill Withers","Lean On Me"
"Billy Idol","Eyes Without A Face"
"Billy Idol","To Be A Lover"
"Billy Joel",Allentown
"Billy Joel","I Go To Extremes"
"Billy Joel","We Didn't Start The Fire"
"Billy Preston","Nothing from Nothing"
"Billy Preston","Will It Go Round In Circles"
"Billy Ray Cyrus","Achy Breaky Heart"
"Billy Squier","The Stroke"
"Black Eyed Peas","Don't Lie"
"Black Eyed Peas","Imma Be"
Blondie,"Heart Of Glass"
Blondie,"The Tide Is High"
"Blue Magic",Sideshow
BoDeans,"Closer To Free"
"Bobby Brown","My Prerogative"
"Bobby Brown","Rock Wit'cha"
"Bobby Brown",Roni
"Bobby Darin","If I Were A Carpenter"
